Particle size (cm),% mass
0.00001,0.191179776
0.000015,0.417790037
0.00002,0.642824306
0.000025,0.775995938
0.00003,0.75774318
0.000035,0.750327619
0.00004,0.676868955
0.000045,0.669901025
0.00005,0.630711725
0.0001,1.118571544
0.00015,2.583089196
0.0002,4.218923315
0.00025,5.655949372
0.0003,7.032951861
0.00035,8.091877946
0.0004,8.877562354
0.00045,9.467302449
0.0005,9.84850308
0.001,9.912220149
0.0015,7.8002281
0.002,5.828833437
0.0025,4.184265443
0.003,2.975895638
0.0035,2.204860385
0.004,1.571524203
0.0045,1.121512796
0.005,0.836414006
0.01,0.383661686
0.015,0.491287639
0.02,0.283743702
