Particle size (microns),% mass
0.2,0
0.3,0.16528323054339
0.4,0.314813166667159
0.5,0.414474354267327
0.6,0.506439736581
0.7,0.603383047830059
0.8,0.69460703321434
0.9,0.768688024879416
1,0.844098912952667
2,1.58182363610304
3,2.21441316588943
4,2.90134614032325
5,3.80669245396151
6,4.77836719644795
7,5.93046993726929
8,7.30283917366415
9,8.32539112821051
10,9.63184015797677
20,15.0876595880148
30,12.639521695741
40,10.8671641350895
50,4.99330925979071
60,2.88107857071386
70,1.51615829682403
80,0.830918425325529
90,0.263273061714216
100,0.133518728993546
