Particle size (cm),% mass
0.00002,0.242881145577306
0.00003,1.85446063907345
0.00004,3.45795765512404
0.00005,4.62229565474562
0.00006,5.2575129782419
0.00007,5.76398381201483
0.00008,6.09053799903396
0.00009,6.26589270141855
0.0001,6.42665311888215
0.0002,7.52661137539088
0.0003,8.43211331123234
0.0004,8.55618674383797
0.0005,8.05774150028002
0.0006,7.20047151611912
0.0007,6.30948538137911
0.0008,5.27520544663961
0.0009,4.31496792952474
0.001,3.5271059098882
0.0015,0.565433160291885
0.002,0.172523635571548
0.0025,0.0806720472017956
